train_id,corridor_id,day,departure_time,arrival_time,train_type
T001,C4,Mon,00:30,01:30,Goods
T002,C4,Mon,04:30,05:30,Goods
T003,C4,Mon,06:00,07:00,Express
T004,C4,Mon,08:00,09:00,Express
T005,C4,Mon,10:00,11:00,Passenger
T006,C4,Mon,11:30,12:30,Express
T007,C4,Mon,13:30,14:30,Express
T008,C4,Mon,15:30,16:30,Passenger
T009,C4,Mon,17:30,18:30,Express
T010,C4,Mon,19:30,20:30,Express
T011,C4,Mon,21:30,22:30,Goods
T012,C4,Tue,06:00,07:00,Express
T013,C4,Tue,09:30,10:30,Passenger
T014,C4,Tue,13:00,14:00,Express
T015,C4,Tue,17:00,18:00,Express
T016,C4,Tue,21:00,22:00,Goods
T017,C4,Wed,06:00,07:00,Express
T018,C4,Wed,09:30,10:30,Passenger
T019,C4,Wed,13:00,14:00,Express
T020,C4,Wed,17:00,18:00,Express
T021,C4,Wed,21:00,22:00,Goods
T022,C4,Thu,06:00,07:00,Express
T023,C4,Thu,09:30,10:30,Passenger
T024,C4,Thu,13:00,14:00,Express
T025,C4,Thu,17:00,18:00,Express
T026,C4,Thu,21:00,22:00,Goods
T027,C4,Fri,06:00,07:00,Express
T028,C4,Fri,09:30,10:30,Passenger
T029,C4,Fri,13:00,14:00,Express
T030,C4,Fri,17:00,18:00,Express
T031,C4,Fri,21:00,22:00,Goods
T032,C4,Sat,07:00,08:00,Passenger
T033,C4,Sat,12:00,13:00,Express
T034,C4,Sat,18:00,19:00,Passenger
T035,C4,Sun,07:00,08:00,Passenger
T036,C4,Sun,12:00,13:00,Express
T037,C4,Sun,18:00,19:00,Passenger
T038,C1,Mon,05:30,06:30,Passenger
T039,C1,Mon,08:00,09:00,Express
T040,C1,Mon,11:00,12:00,Express
T041,C1,Mon,14:30,15:30,Passenger
T042,C1,Mon,18:00,19:00,Express
T043,C1,Mon,22:00,23:00,Goods
T044,C1,Tue,05:30,06:30,Passenger
T045,C1,Tue,08:00,09:00,Express
T046,C1,Tue,11:00,12:00,Express
T047,C1,Tue,14:30,15:30,Passenger
T048,C1,Tue,18:00,19:00,Express
T049,C1,Tue,22:00,23:00,Goods
T050,C1,Wed,05:30,06:30,Passenger
T051,C1,Wed,08:00,09:00,Express
T052,C1,Wed,11:00,12:00,Express
T053,C1,Wed,14:30,15:30,Passenger
T054,C1,Wed,18:00,19:00,Express
T055,C1,Wed,22:00,23:00,Goods
T056,C1,Thu,05:30,06:30,Passenger
T057,C1,Thu,08:00,09:00,Express
T058,C1,Thu,11:00,12:00,Express
T059,C1,Thu,14:30,15:30,Passenger
T060,C1,Thu,18:00,19:00,Express
T061,C1,Thu,22:00,23:00,Goods
T062,C1,Fri,05:30,06:30,Passenger
T063,C1,Fri,08:00,09:00,Express
T064,C1,Fri,11:00,12:00,Express
T065,C1,Fri,14:30,15:30,Passenger
T066,C1,Fri,18:00,19:00,Express
T067,C1,Fri,22:00,23:00,Goods
T068,C1,Sat,07:00,08:00,Passenger
T069,C1,Sat,13:00,14:00,Express
T070,C1,Sat,19:00,20:00,Passenger
T071,C1,Sun,07:00,08:00,Passenger
T072,C1,Sun,13:00,14:00,Express
T073,C1,Sun,19:00,20:00,Passenger
T074,C2,Mon,06:00,07:00,Express
T075,C2,Mon,09:00,10:00,Passenger
T076,C2,Mon,12:00,13:00,Express
T077,C2,Mon,15:00,16:00,Express
T078,C2,Mon,18:30,19:30,Passenger
T079,C2,Mon,21:30,22:30,Goods
T080,C2,Tue,06:00,07:00,Express
T081,C2,Tue,09:00,10:00,Passenger
T082,C2,Tue,12:00,13:00,Express
T083,C2,Tue,15:00,16:00,Express
T084,C2,Tue,18:30,19:30,Passenger
T085,C2,Tue,21:30,22:30,Goods
T086,C2,Wed,06:00,07:00,Express
T087,C2,Wed,09:00,10:00,Passenger
T088,C2,Wed,12:00,13:00,Express
T089,C2,Wed,15:00,16:00,Express
T090,C2,Wed,18:30,19:30,Passenger
T091,C2,Wed,21:30,22:30,Goods
T092,C2,Thu,06:00,07:00,Express
T093,C2,Thu,09:00,10:00,Passenger
T094,C2,Thu,12:00,13:00,Express
T095,C2,Thu,15:00,16:00,Express
T096,C2,Thu,18:30,19:30,Passenger
T097,C2,Thu,21:30,22:30,Goods
T098,C2,Fri,06:00,07:00,Express
T099,C2,Fri,09:00,10:00,Passenger
T100,C2,Fri,12:00,13:00,Express
T101,C2,Fri,15:00,16:00,Express
T102,C2,Fri,18:30,19:30,Passenger
T103,C2,Fri,21:30,22:30,Goods
T104,C2,Sat,08:00,09:00,Passenger
T105,C2,Sat,14:00,15:00,Express
T106,C2,Sat,20:00,21:00,Goods
T107,C2,Sun,08:00,09:00,Passenger
T108,C2,Sun,14:00,15:00,Express
T109,C2,Sun,20:00,21:00,Goods
T110,C3,Mon,06:30,07:30,Express
T111,C3,Mon,10:00,11:00,Passenger
