request_id,task_id,asset_id,corridor_id,department,requested_duration_hours,severity,overdue_days,preferred_day,status
BR001,TMS001,A007,C4,Engineering,3.0,Critical,15,Mon,Pending
BR002,SMMS001,A008,C4,Signal,2.5,Major,8,Mon,Pending
BR003,TDMS001,A009,C4,Traction,2.5,Critical,12,Mon,Pending
BR004,TMS002,A010,C4,Engineering,1.5,Minor,3,Mon,Pending
BR014,SMMS006,A008,C4,Signal,2.0,Critical,18,Tue,Pending
BR017,TMS008,A007,C4,Engineering,2.0,Major,11,Wed,Pending
BR018,TDMS006,A016,C4,Traction,1.5,Minor,5,Thu,Pending
BR005,TMS003,A001,C1,Engineering,2.0,Major,5,Tue,Pending
BR006,SMMS002,A002,C1,Signal,1.5,Minor,2,Tue,Pending
BR013,TDMS005,A013,C1,Traction,2.0,Critical,18,Mon,Pending
BR007,TMS004,A003,C2,Engineering,3.0,Critical,20,Wed,Pending
BR008,TDMS002,A004,C2,Traction,2.0,Major,7,Wed,Pending
BR016,SMMS004,A015,C2,Signal,2.5,Critical,14,Mon,Pending
BR009,SMMS003,A005,C3,Signal,1.5,Minor,1,Thu,Pending
BR010,TMS005,A006,C3,Engineering,2.5,Major,10,Thu,Pending
BR015,TDMS003,A014,C3,Traction,2.0,Major,9,Mon,Pending
BR011,SMMS005,A011,C5,Signal,2.0,Major,6,Fri,Pending
BR012,TDMS004,A012,C5,Traction,1.5,Minor,4,Fri,Pending
BR019,TMS007,A017,C5,Engineering,2.0,Major,6,Tue,Pending
BR020,TMS008,A007,C4,Engineering,2.0,Major,11,Mon,Pending
